2026-07-13 02:21:01 Engine: started at phase 'mine'
2026-07-17 10:17:16 WithdrawSackPhase: Items received from sack. Moving to bank.
2026-07-17 10:17:16 DepositBankPhase: Clicked deposit container at [1107, 355]
2026-07-17 10:17:16 DepositBankPhase: Waiting for deposit box to open...
2026-07-17 10:17:20 DepositBankPhase: Deposited all - banking complete, returning to mine
2026-07-17 10:17:20 ReturnMine1Phase: Clicked waypoint 1 at [699, 1279]
2026-07-17 10:17:25 ReturnMine1Phase: Arrived at waypoint 1!
2026-07-17 10:17:25 ReturnMine2Phase: Clicked waypoint 2 at [1251, 1354]
2026-07-17 10:17:27 ReturnMine2Phase: Saw waypoint 2 marker. Moving to final approach.
2026-07-17 10:17:28 ReturnMine2Phase: Clicked final approach spot at [1491, 1023]
2026-07-17 10:17:31 ReturnMine2Phase: Wait complete. Handing off to mine phase.
2026-07-17 10:17:31 MinePhase: Found new vein at [1437, 779]
2026-07-17 10:17:32 MinePhase: Initial click to walk to vein at [1438, 763] (vein at [1438, 763])
2026-07-17 10:17:34 MinePhase: Clicked stable vein at [1265, 719] (vein at [1265, 719])
2026-07-17 10:17:35 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:37 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:37 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:17:37 MinePhase: Found new vein at [1161, 713]
2026-07-17 10:17:38 MinePhase: Initial click to walk to vein at [1161, 713] (vein at [1161, 713])
2026-07-17 10:17:39 MinePhase: Clicked stable vein at [1251, 713] (vein at [1251, 713])
2026-07-17 10:17:41 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:43 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:44 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:46 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:48 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:49 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:51 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:53 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:55 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:56 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:17:58 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:00 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:01 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:03 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:05 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:07 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:08 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:10 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:12 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:13 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:15 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:18:15 MinePhase: Found new vein at [1307, 713]
2026-07-17 10:18:15 MinePhase: Initial click to walk to vein at [1307, 713] (vein at [1307, 713])
2026-07-17 10:18:17 MinePhase: Clicked stable vein at [1263, 713] (vein at [1263, 713])
2026-07-17 10:18:19 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:18:20 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
